index,utterance,IC_OOC
2850,"As he's still walking away, you hear him shout over his shoulder, ""And when you bring them, then we'll talk!""",IC
2857,"You hear the door slam, boom!",IC
2876,"So after a bit of discussion, you manage to make your way around town. You eventually find your way to the Value of Valor, which is a--",IC
2878,"(laughs) It's a stone building. Like reddish brick, it looks in construction. With fine purple--",IC
2880,(laughs) Fine purple tapestries in the front that show various battles of old dwarven history of two glowing enchanted permalight lanterns hanging from the front.,IC
2882,And an entryway that is currently open and a warmly-lit interior welcomes you.,IC
2915,That's not what it's called. (group laughs),OOC
2917,"It's the Value of Valor guys, come on! (whines)",OOC
2921,A giant boulder falls out of nowhere and crushes Grog. (group laughs),IC
2922,"So you make your way inside. Suddenly, hit with the smell of heavy incense and jasmine. This is the equivalent of a Psychic Eye Bookshop.",IC
2936,"""Dwarves have a hard time buying from those who are not dwarves. But I've made my established connections with business individuals. So, what can I help you with?""",IC
2939,"""Of which intensity are you looking for?""",IC
2941,"""So looking for a superior healing potion.""",IC
2943,"""I've only got two of those currently.""",IC
2946,"""I can sell you the two superior healing potions.""",IC
2948,"""Those will run you 1,500 gold pieces each.""",IC
2955,"He gives you a keen look and says, ""Tremaine.""",IC
2972,Make a persuasion roll.,OOC
2978,"He says, ""And I appreciate this perhaps offer. Once you return from your mines--""",IC
2990,"""What was your question, sir?""",IC
2997,He gives you a very concerned look.,IC
2999,"Both of you. And he goes, And he goes, ""I work in trade, meaning gold pieces for my wares.""",IC
3001,"""If you have interest, purchase. If not, I have other business to attend to.""",IC
3017,"""So, five.""",OOC
3019,"""Seven.""",OOC
3022,"""Eight.""",OOC
3027,Pathfinder to 5E.,OOC
3041,As he pulls up his arcane calculator.,IC
3047,"He says, ""Impressive for a goliath. I don't mean to assume, but in my experiences, your kind is--""",IC
3050,"""2700 gold pieces for your nine greater healing potions.""",IC
3054,"He kind of glances over his shoulder and says, ""Ah, we haven't had much a request for arrows in a while. We have bolts for crossbows, as that seems to be the staple for the carvers of the city. I have two sleep arrows, perhaps, if that is of interest to you.""",IC
3060,"""That would run you 250 gold per arrow. I have two currently.""",IC
3062,"""All right, 500 gold. With that, that is a total of 3200 gold pieces.""",IC
3071,"""I don't believe I have, but should you come across one, I would be interested to have a look.""",IC
3080,"""I have four of them available, and they run 500 gold apiece.""",IC
3094,"""1000 gold. That brings us to 4200 gold.""",OOC
3100,"He gives you a keen look and goes, ""We don't get many requests for this, but I think this may fit you."" And he reaches below and pulls up a fine piece of mithril chain, elven in make.",IC
3104,"He says, ""Would you perhaps be interested in this elven chain?""",IC
3116,He goes ahead and accepts your gold. Go ahead and mark off 4200 gold for those.,IC
3123,"""Well of course, they come in rare ordinance in this city, it seems."" You hear under his breath a little bit of a mutter. Apparently it's like elves don't like dwarves, it's weird.",IC
3132,"Interesting, okay. As you guys head back to the inn where you've rented rooms for the week,",IC
3136,"Balgus is not in the tavern, no.",OOC
3148,You find a couple of sacks of grain that can probably work.,IC
3150,"Okay, you think they're probably not gonna last the night with those bear claws. But you don't care, it's not your grain.",IC
3152,"Okay, Trinket is very happy. (imitates bear eating) Tears into some meat. You guys make it back to the tavern for an evening's rest. For you--",IC
3154,Go ahead and make a Tinker's Kit roll.,OOC
3156,"For this, I would go ahead and make it an intellect modifier to your roll.",OOC
3162,"10? You spend and toil away for the next four or so hours trying to find a way to get this trigger to work. Twice you nearly sprain a finger. You manage seemingly get it to function, then the arrow itself splits and shatters. You can see there being something to it, but this night it's not gonna come to you.",IC
3164,It was a terrible roll.,OOC
3185,"All right. So you guys go to sleep. Wake up the next morning fully healed, spells restored, well rested and ready for the day. You think it's day. It's hard to tell. Still, this underground circumstance is really messing with you guys.",IC
3194,"You make your way down to the bottom ring of Kraghammer. To the mines proper. The miners have gone back to work, and from what you can see, there's just an all around crazy business with people cleaning out, still trying to clean out the ichor that's on the ground left over from the battle you guys had the day before. You make your way to the front of the mines, and immediately three of the carvers that are standing at the front approach as you begin to walk, and then upon noticing you, kind of like, step back and put their weapons to the side.",IC
3201,I assume Trinket comes with you unless you say otherwise.,OOC
3207,"And fair play to the gnome, but they're dwarves.",OOC
3210,"You make your way into the mine proper. It goes back for a good 10 minutes of walking and of winding. You can see the actual track of the minetrack leading around. You come upon a couple of dwarves that look over their shoulders begrudgingly at you guys as you pass going, ""Hey? Eh, shh,"" and go right back into mining whatever remains in the inside of this. It looks like this portion of the mine has been nearly picked clean. The dwarves that are in there are probably just wasting time to get their pay for the day. You go further back and eventually it opens up. I think I have the map available.",IC
3218,"We can put it on there perhaps. For the most part I'll be describing it as you go, so it's not too important.",OOC
